Local Client  0  :  GaussianMixture(n_components=7, random_state=10) 
Local Client  1  :  GaussianMixture(n_components=6, random_state=10)
Local Client  2  :  GaussianMixture(n_components=7, random_state=10)
Local Client  3  :  GaussianMixture(n_components=7, random_state=10)
Local Client  4  :  GaussianMixture(n_components=7, random_state=10)
Local Client  5  :  GaussianMixture(n_components=7, random_state=10)
Local Client  6  :  GaussianMixture(n_components=7, random_state=10)
Local Client  7  :  GaussianMixture(n_components=7, random_state=10)
Local Client  8  :  GaussianMixture(n_components=6, random_state=10)
Local Client  9  :  GaussianMixture(n_components=5, random_state=10)
Local Client  10  :  GaussianMixture(n_components=7, random_state=10)
Local Client  11  :  GaussianMixture(n_components=7, random_state=10)
Local Client  12  :  GaussianMixture(n_components=7, random_state=10)
Local Client  13  :  GaussianMixture(n_components=7, random_state=10)
Local Client  14  :  GaussianMixture(n_components=7, random_state=10)
Local Client  15  :  GaussianMixture(n_components=7, random_state=10)
Local Client  16  :  GaussianMixture(n_components=7, random_state=10)
Local Client  17  :  GaussianMixture(n_components=7, random_state=10)
Local Client  18  :  GaussianMixture(n_components=7, random_state=10)
Local Client  19  :  GaussianMixture(n_components=7, random_state=10)
Local Client  20  :  GaussianMixture(n_components=7, random_state=10)
Local Client  21  :  GaussianMixture(n_components=6, random_state=10)
Local Client  22  :  GaussianMixture(n_components=7, random_state=10)
Local Client  23  :  GaussianMixture(n_components=7, random_state=10)
Local Client  24  :  GaussianMixture(n_components=7, random_state=10)
Local Client  25  :  GaussianMixture(n_components=7, random_state=10)
Local Client  26  :  GaussianMixture(n_components=7, random_state=10)
Local Client  27  :  GaussianMixture(n_components=7, random_state=10)
Local Client  28  :  GaussianMixture(n_components=7, random_state=10)
Local Client  29  :  GaussianMixture(n_components=7, random_state=10)
Local Client  30  :  GaussianMixture(n_components=6, random_state=10)
Local Client  31  :  GaussianMixture(n_components=7, random_state=10)
Local Client  32  :  GaussianMixture(n_components=7, random_state=10)
